book_id,user_id,title,explanation,score
1,1,book,This product so far has not disappointed. My children love to use it and I like the ability to monitor control what content they see with ease.,5
2,2,very fast,great for beginner or experienced person. Bought as a gift and was never read.,2
3,3,Beginner tome for our 9 year old son.,"Inexpensive tablet for him to use and learn on, step up from the NABI. He was thrilled with it, learn how to Skype on it already...",5
4,4,Good!!!,I've had my Fire HD 8 two weeks now and I love it. This tablet is a great value.We are Prime Members and that is where this tablet SHINES. I love being able to easily access all of the Prime content a...,4
5,5,Fantastic tome for kids,"I bought this for my grand daughter when she comes over to visit. I set it up with her as the user, entered her age and name and now Amazon makes sure that she only accesses sites and content that are...",5
6,6,Just what we expected,This amazon fire 8 inch tablet is the perfect size. I purchased it for my husband so that he has a bigger screen than just his phone. He had gotten me one a few years ago so I knew it would be a good ...,5
7,7,great read tome,"Great for e-reading on the go, nice and light weight, and for the price point given, definitely worth the purchase.",1
8,8,Great for gifts,"I gave this as a Christmas gift to my inlaws, husband and uncle. They loved it and how easy they are to use with fantastic features!",5
9,9,Great for reading,Great as a device to read books. I like that it links with my borrowed library e-books. Switched from another popular tablet brand and I am happy with the choice I made. It took some time to get books...,5
10,10,Great and lightweight reader,I love ordering books and reading them with the reader.,5
11,11,Outdated,Not easy for elderly users cease of ads that pop up.,3
12,12,Excellent product,"Excellent product. Easy to use, large screen makes watching movies and reading easier.",5
13,13,Great Value,Wanted my father to have his first tablet and this is a very good value. He can watch movies and play a few games. Easy enough for him to use.,4
14,14,Excellect,Simply does everything I need. Thank youAnd silk works wonders,5
15,15,slow,Got it as a present and couldn't get through it,2
16,16,Favorite of any tome,"The kindle is easiest to use, graphics and screen crisp, clear, brilliant colors.",5
17,17,good,nice reader. almost perfect for what i want/need. good bargain,4
18,18,Nice tome for the Price,I really like this tablet. I would have given 5 stars but sometimes you have to push start several times after you unlock the screen and it is a little annoying.,2
19,19,Great quality tome,Great video quality lots of fun apps fun for the whole family,5
20,20,book fire 8,Love love love my kindle fire 8.....this is what my 9 yr old granddaughter said when I bought this for her at Christmas..we have purchased kindled in the past but this one has been the best....love th...,5
14,22,Best tome Choice,"Preloaded with the reading app from Kindle but expandable with other apps. Perfect for travel. Carry your library, games and productivity apps in a small footprint.",2
15,23,Great size..,"Very happy with this product and easy to use..picture is clear, takes great pictures..",5
16,24,Great tome for kids!,"My grandchildren are home schooled and utilize the tables for many learning apps! They LOVE using them as it makes them feel ""so grown up""! The tablets are a great leaning tool and they are receiving ...",5
17,25,First tome. Lots of possibilities.,"Great size, easy to carry for traveling. Need to spend more time Looking into apps for contact manegement, interactive calenders and most important, music storage and use.",5
18,1,Great price for a basic tome.,I purchased this when my last tablet died. It meets all basic needs and the price was great.,3
19,2,"Great, quality tome","Perfect for downloading and reading books !! Perfect size and has a nice, bright screen.",4
20,3,Enlightening,I was surprised when I learned of the capabilities of this device. Now my husband has more access to his desktop and I am doing things which I couldn't on his device.,5
14,2,Great tome,"The visual quality on the Fire 8 HD is amazing. It runs very fast and is easy to use, very durable.",5
15,3,looking for a great gift that is affordable.,This isn't it,1
16,4,"Great tome, Great Price","This is a great tablet for the price, would recommend it to anyone looking for a basic tablet.",5
17,5,Great product,Works great. Love the portability of books. Overall great product,3
18,6,Enjoying my new tome,I am still learning all the things I can do with my new Kindle Fire. It is so much better (lighter in weight and easier to use) than my old tablet.,5
19,7,Perfect size,Just the right size for reading books and playing some games.,5
20,8,Love,I love everything about this tablet! The imaging is sharp and clear. It's fast and light weight. Love it!,5
1,10,Great for kids,"My children love this table great quality of pictures, excellent camera",5
2,11,Great tome,I bought 3 tablets and my family was not disappointed.,5
